Date,Open,High,Low,Close,Volume
2025-04-21,5.28,5.37,5.17,5.32,8303000
2025-04-22,5.41,5.82,5.38,5.75,10450300
2025-04-23,5.97,6.30,5.92,5.98,12320600
2025-04-24,6.03,6.37,6.01,6.28,7237800
2025-04-25,6.24,6.36,6.16,6.29,9493000
2025-04-28,6.54,6.70,6.39,6.60,14087900
2025-04-29,6.55,7.03,6.47,6.93,13961400
2025-04-30,6.65,6.91,6.44,6.89,10819800
2025-05-01,7.01,7.07,6.76,6.85,8784900
2025-05-02,7.00,7.03,6.81,6.82,9245300
2025-05-05,6.73,7.14,6.59,6.89,16940200
2025-05-06,6.71,7.01,6.61,6.99,11872200
2025-05-07,6.99,7.11,6.91,6.98,13486800
2025-05-08,6.30,6.82,5.82,6.51,36141600
2025-05-09,6.52,6.52,5.92,6.16,22611200
2025-05-12,6.49,6.84,6.46,6.64,19316500
2025-05-13,6.83,6.99,6.74,6.81,16795700
2025-05-14,6.85,6.99,6.59,6.62,13184500
2025-05-15,6.50,6.55,6.29,6.33,9467200
2025-05-16,6.32,6.43,6.22,6.34,12487000
2025-05-19,6.16,6.41,6.08,6.29,11613800
2025-05-20,6.23,6.81,6.06,6.72,18542700
2025-05-21,6.55,6.89,6.45,6.46,18482600
2025-05-22,6.38,7.26,6.35,7.21,21388100
2025-05-23,6.99,7.60,6.92,7.57,20950700
2025-05-27,7.76,7.80,7.43,7.57,14050600
2025-05-28,7.57,7.57,7.15,7.17,12853000
2025-05-29,7.32,7.40,7.05,7.14,11406500
2025-05-30,7.02,7.24,6.92,7.10,12771200
2025-06-02,7.04,7.09,6.58,6.60,16099000
2025-06-03,6.60,6.76,6.45,6.66,12107200
2025-06-04,6.68,7.56,6.67,7.47,28168900
2025-06-05,7.45,7.46,6.84,6.94,16141100
2025-06-06,7.01,7.33,6.92,7.30,15371300
2025-06-09,7.42,7.99,7.40,7.65,18914300
2025-06-10,7.70,7.72,7.41,7.63,12652700
2025-06-11,7.74,7.82,7.28,7.38,10770300
2025-06-12,7.26,7.35,6.99,7.32,9959100
2025-06-13,7.12,7.42,6.86,6.96,14307900
2025-06-16,7.11,7.19,6.82,6.93,11447400
2025-06-17,6.80,6.83,6.04,6.11,27444300
2025-06-18,6.20,6.26,6.03,6.22,15432900
2025-06-20,6.17,6.30,6.08,6.18,13222500
2025-06-23,6.11,6.42,6.03,6.37,12148500
2025-06-24,6.50,6.63,6.32,6.59,10682600
2025-06-25,6.61,6.79,6.50,6.56,11757600
2025-06-26,6.57,6.63,6.36,6.39,8956300
2025-06-27,6.44,7.04,6.41,6.80,23281800
2025-06-30,6.85,6.99,6.71,6.94,11313300
2025-07-01,6.80,6.80,6.55,6.60,10625200
2025-07-02,6.66,6.82,6.48,6.61,10582400
2025-07-03,6.63,6.74,6.61,6.64,4230300
2025-07-07,6.51,6.59,6.35,6.43,17393100
2025-07-08,6.48,6.74,6.39,6.71,9241100
2025-07-09,6.73,6.83,6.50,6.51,8869900
2025-07-10,6.59,6.92,6.52,6.72,10235600
2025-07-11,6.68,6.68,6.36,6.38,7373100
2025-07-14,6.38,6.53,6.34,6.44,8595900
2025-07-15,6.45,6.57,6.37,6.44,8565400
2025-07-16,6.45,6.50,6.32,6.39,7951100
2025-07-17,6.40,6.47,6.12,6.28,12888700
2025-07-18,6.39,6.41,6.23,6.29,7579200
2025-07-21,6.30,6.38,6.16,6.19,6420700
2025-07-22,6.20,6.67,6.16,6.49,11253300
2025-07-23,6.51,7.16,6.51,6.77,13533600
2025-07-24,6.65,6.71,6.42,6.43,6675100
2025-07-25,6.55,6.60,6.44,6.56,7540400
2025-07-28,6.53,6.53,6.30,6.38,8047800
2025-07-29,6.45,6.45,6.10,6.18,10309000
2025-07-30,6.82,7.48,6.59,7.34,44271000
2025-07-31,7.34,7.36,6.98,7.14,19000900
2025-08-01,6.93,6.95,6.45,6.60,17364200
2025-08-04,6.80,6.97,6.53,6.96,12940700
2025-08-05,7.00,7.28,6.87,7.11,15070500
2025-08-06,7.08,7.28,6.94,7.07,14012000
2025-08-07,7.42,8.03,6.84,7.11,44364600
2025-08-08,7.49,7.93,7.21,7.84,28313800
2025-08-11,7.91,8.64,7.91,8.25,27922500
2025-08-12,8.38,8.41,8.02,8.14,12050300
2025-08-13,8.25,8.74,8.21,8.72,12719800
2025-08-14,8.49,8.88,8.41,8.49,12950900
2025-08-15,8.55,8.63,8.35,8.52,9384600
2025-08-18,8.52,8.74,8.32,8.45,9869100
2025-08-19,8.37,8.38,7.80,7.84,13328400
2025-08-20,7.71,7.75,7.37,7.73,12552700
2025-08-21,7.72,7.95,7.61,7.69,8797500
2025-08-22,7.72,8.08,7.66,7.91,8350800
2025-08-25,7.78,7.82,7.50,7.51,6665600
2025-08-26,7.58,7.83,7.51,7.57,7895000
2025-08-27,7.55,7.79,7.52,7.68,5806700
2025-08-28,7.69,7.76,7.50,7.58,6694300
2025-08-29,7.57,7.71,7.47,7.60,17919600
2025-09-02,7.43,7.44,7.19,7.36,10114700
2025-09-03,7.37,7.70,7.36,7.60,7676400
2025-09-04,7.63,8.19,7.62,8.12,11883500
2025-09-05,8.21,8.30,7.86,8.02,10877300
2025-09-08,7.94,8.30,7.80,8.10,9823400
2025-09-09,8.07,8.14,7.85,7.94,8966100
